DATE,GDPC1
2000-01-01,56384.132
2001-01-01,56922.904
2002-01-01,57890.846
2003-01-01,59509.250
2004-01-01,61799.029
2005-01-01,63951.830
2006-01-01,65732.590
2007-01-01,67049.782
2008-01-01,67125.939
2009-01-01,65396.442
2010-01-01,67159.002
2011-01-01,68209.642
2012-01-01,69771.037
2013-01-01,71248.668
2014-01-01,73046.857
2015-01-01,75198.488
2016-01-01,76566.689
2017-01-01,78448.410
2018-01-01,80775.581
2019-01-01,82768.347
2020-01-01,80936.296
