DATE,CLVMNACSCAB1GQDK
2000-01-01,1677216.8
2001-01-01,1691022.8
2002-01-01,1698908.9
2003-01-01,1705535.7
2004-01-01,1751043.1
2005-01-01,1791958.6
2006-01-01,1862078.1
2007-01-01,1879008.8
2008-01-01,1869388.0
2009-01-01,1777665.7
2010-01-01,1810925.6
2011-01-01,1835133.7
2012-01-01,1839290.2
2013-01-01,1856457.1
2014-01-01,1886520.4
2015-01-01,1930713.9
2016-01-01,1993384.0
2017-01-01,2049632.1
2018-01-01,2090410.4
2019-01-01,2121630.3
2020-01-01,2070157.2
