DATE,JPNRGDPEXP
2000-01-01,1931144.0
2001-01-01,1938879.1
2002-01-01,1938992.7
2003-01-01,1969519.6
2004-01-01,2011889.6
2005-01-01,2048638.2
2006-01-01,2076212.8
2007-01-01,2106881.6
2008-01-01,2080586.3
2009-01-01,1962502.7
2010-01-01,2042993.0
2011-01-01,2043710.7
2012-01-01,2071695.5
2013-01-01,2114067.2
2014-01-01,2118622.1
2015-01-01,2152420.0
2016-01-01,2167965.2
2017-01-01,2204944.0
2018-01-01,2218822.1
2019-01-01,2210049.6
2020-01-01,2117365.9
